tonality,vector_means
9.0,-99.82656860351562
8.0,-104.79508209228516
10.0,-371.05712890625
9.0,-12.869036674499512
1.0,-599.5360717773438
9.0,-21.101625442504886
10.0,-730.98486328125
8.0,-111.52645874023438
9.0,-93.13463592529295
10.0,-282.8579406738281
5.0,-728.2388305664062
9.0,-779.6571655273438
9.0,-312.02166748046875
9.0,-279.4056396484375
10.0,-418.3937072753906
10.0,-328.307861328125
10.0,-465.8233947753906
8.0,-18.650859832763672
10.0,-370.3771057128906
8.0,-35.26557922363281
9.0,-478.0924377441406
10.0,-441.2665100097656
10.0,-412.53167724609375
9.0,-140.48699951171878
10.0,-319.8866271972656
10.0,-473.5133361816406
9.0,-67.10149383544922
7.0,-125.51349639892578
9.0,-318.0831298828125
10.0,-378.9692993164063
9.0,-63.96509170532226
8.0,-676.7918090820312
9.0,-450.5950012207031
9.0,-846.5853271484375
10.0,-350.4235534667969
10.0,-492.31451416015625
10.0,-218.94760131835938
10.0,-16.219472885131836
10.0,-222.82058715820312
10.0,-367.8150634765625
10.0,-224.1414337158203
10.0,-6.7932634353637695
10.0,-4586.1640625
1.0,-797.033203125
10.0,-191.7287139892578
10.0,-232.7460479736328
10.0,-348.8710632324219
5.0,-732.156005859375
10.0,-543.7859497070311
10.0,-361.1019592285156
1.0,-262.61016845703125
10.0,-434.5399169921875
10.0,-242.8301544189453
10.0,-2346.13720703125
9.0,-216.77322387695312
9.0,-115.71810150146484
10.0,-1141.9337158203125
10.0,-1477.1822509765625
10.0,-50.42291259765625
10.0,-698.3943481445312
10.0,-972.964111328125
10.0,-288.3019714355469
10.0,-1991.951171875
10.0,-79.43205261230469
10.0,-280.3765869140625
3.0,-496.9777526855469
9.0,-187.7022705078125
10.0,-237.02554321289062
6.0,-1571.610107421875
6.0,-209.324951171875
8.0,-315.5048522949219
6.0,-402.58642578125
10.0,-14.657490730285645
7.0,-39.57657241821289
9.0,-296.96014404296875
10.0,-376.1673583984375
10.0,-119.79493713378906
8.0,-152.16555786132812
4.0,-512.4910278320311
8.0,-523.884521484375
9.0,-248.2118988037109
10.0,-444.9583435058594
8.0,-583.8770751953125
3.0,-677.3079223632812
7.0,-249.20291137695312
3.0,-294.0977783203125
10.0,-503.5209045410156
8.0,-920.6768188476562
9.0,-634.5430908203125
9.0,-338.794189453125
2.0,-203.85400390625
7.0,-664.3252563476562
9.0,-622.0565185546875
9.0,-532.9849243164061
8.0,-1764.125
7.0,-180.43040466308597
2.0,-205.34698486328125
6.0,-1041.8238525390623
10.0,-272.45855712890625
2.0,-509.0440979003906
7.0,-778.4412841796875
10.0,-1534.656982421875
5.0,-276.49761962890625
7.0,-1757.56396484375
9.0,-471.5955810546875
5.0,-420.4912414550781
4.0,-410.2784118652344
9.0,-1345.25341796875
10.0,-113.00434112548828
8.0,-2049.90283203125
9.0,-1111.9921875
9.0,-1091.7508544921877
4.0,-568.945556640625
10.0,-9.262468338012695
8.0,-3151.41845703125
10.0,-839.5663452148438
10.0,-113.19117736816406
10.0,-1439.051025390625
5.0,-100.98163604736328
6.0,-56.81609344482422
10.0,-392.1139526367188
9.0,-422.27532958984375
9.0,-709.0053100585938
9.0,-531.9537353515625
9.0,-406.8536682128906
8.0,-559.2669677734375
10.0,-635.4613037109375
9.0,-892.1676635742188
8.0,-1517.8143310546875
10.0,-23.01776123046875
10.0,-70.4633560180664
8.0,-212.20025634765625
6.0,-286.3249206542969
9.0,-63.06976699829102
9.0,-1375.422119140625
10.0,-22.364181518554688
9.0,-154.1957550048828
3.0,-1856.6607666015625
10.0,-530.865478515625
10.0,-73.40274810791016
10.0,-2055.53857421875
7.0,-1431.9915771484375
9.0,-1268.2152099609375
9.0,-205.2908172607422
9.0,-750.809326171875
7.0,-101.46135711669922
10.0,-166.34075927734375
1.0,-769.7349243164062
1.0,-442.83880615234375
1.0,-249.8670654296875
10.0,-390.9238586425781
1.0,-41.7702751159668
10.0,-295.8316345214844
10.0,-18.506153106689453
10.0,-167.8081817626953
10.0,-341.4600830078125
10.0,-141.3711700439453
9.0,-470.0025939941406
9.0,-432.702880859375
8.0,-601.450927734375
10.0,-260.57626342773443
10.0,-305.4742126464844
10.0,-222.27806091308597
10.0,-114.62061309814452
10.0,-637.1051635742188
8.0,-504.4816284179688
9.0,-789.6420288085938
8.0,-1583.2999267578125
10.0,-112.48491668701172
3.0,-438.0914916992188
9.0,-303.26318359375
10.0,-235.559814453125
10.0,-537.6846923828125
2.0,-412.7032775878906
8.0,-213.800537109375
9.0,-63.71076583862305
10.0,-73.71993255615234
10.0,-1185.802490234375
9.0,-289.9339599609375
10.0,-276.40701293945307
1.0,-286.5822448730469
10.0,-134.91961669921878
5.0,-231.13226318359372
10.0,-1094.15283203125
4.0,-283.6365661621094
9.0,-62.41263961791992
10.0,-802.4573974609375
9.0,-779.2876586914062
10.0,-654.5831909179688
8.0,-296.6312561035156
10.0,-359.15863037109375
9.0,-219.944091796875
10.0,-239.1095428466797
10.0,-214.8603973388672
10.0,-78.53889465332031
9.0,-244.8332977294922
10.0,-172.42665100097656
9.0,-107.32744598388672
10.0,-394.0852355957031
10.0,-64.87729644775389
5.0,-277.0709228515625
8.0,-814.4488525390625
9.0,-119.82150268554688
9.0,-274.10641479492193
9.0,-63.4155387878418
7.0,-186.69883728027344
1.0,-462.91046142578125
10.0,-238.1087951660156
9.0,-218.6220550537109
9.0,-96.70285034179688
9.0,-201.7022705078125
8.0,-46.46886825561523
10.0,-53.66289901733398
10.0,-247.45005798339844
9.0,-78.14551544189453
10.0,-65.952880859375
10.0,-215.7051544189453
10.0,-107.72997283935548
10.0,-117.20832824707031
10.0,-727.2598266601562
